	-500	-471.667	-443.333	-415	-386.667	-358.333	-330	-301.667	-273.333	-245	-216.667	-188.333	-160	-131.667	-103.333	-75	-46.6667	-18.3333	10	38.3334	66.6667	95	123.333	151.667	180	208.333	236.667	265	293.333	321.667	350	378.333	406.667	435	463.333	491.667	520	548.333	576.667	605	633.333	661.667	690	718.333	746.667	775	803.333	831.667	860	888.333	916.667	945	973.333	1001.67	1030	1058.33	1086.67	1115	1143.33	1171.67	1200	1228.33	1256.67	1285	1313.33	1341.67	1370	1398.33	1426.67	1455	1483.33	1511.67	1540	1568.33	1596.67	1625	1653.33	1681.67	1710	1738.33	1766.67	1795	1823.33	1851.67	1880	1908.33	1936.67	1965	1993.33	2021.67	2050	2078.33	2106.67	2135	2163.33	2191.67	2220	2248.33	2276.67	2305	2333.33	2361.67	2390	2418.33	2446.67	2475	2503.33	2531.67	2560	2588.33	2616.67	2645	2673.33	2701.67	2730	2758.33	2786.67	2815	2843.33	2871.67	2900	2928.33	2956.67	2985	3013.33	3041.67	3070	3098.33	3126.67	3155	3183.33	3211.67	3240	3268.33	3296.67	3325	3353.33	3381.67	3410	3438.33	3466.67	3495	3523.33	3551.67	3580	3608.33	3636.67	3665	3693.33	3721.67	3750	3778.33	3806.67	3835	3863.33	3891.67	3920	3948.33	3976.67	4005	4033.33	4061.67	4090	4118.33	4146.67	4175	4203.33	4231.67	4260	4288.33	4316.67	4345	4373.33	4401.67	4430	4458.33	4486.67	4515	4543.33	4571.67	4600	4628.33	4656.67	4685	4713.33	4741.67	4770	4798.33	4826.67	4855	4883.33	4911.67	4940	4968.33	4996.67	5025	5053.33	5081.67	5110	5138.33	5166.67	5195	5223.33	5251.67	5280	5308.33	5336.67	5365	5393.33	5421.67	5450	5478.33	5506.67	5535	5563.33	5591.67	5620	5648.33	5676.67	5705	5733.33	5761.67	5790	5818.33	5846.67	5875	5903.33	5931.67	5960	5988.33	6016.67	6045	6073.33	6101.67	6130	6158.33	6186.67	6215	6243.33	6271.67	6300	6328.33	6356.67	6385	6413.33	6441.67	6470	6498.33	6526.67	6555	6583.33	6611.67	6640	6668.33	6696.67	6725	6753.33	6781.67	6810	6838.33	6866.67	6895	6923.33	6951.67	6980	7008.33	7036.67	7065	7093.33	7121.67	7150	7178.33	7206.67	7235	7263.33	7291.67	7320	7348.33	7376.67	7405	7433.33	7461.67	7490	7518.33	7546.67	7575	7603.33	7631.67	7660	7688.33	7716.67	7745	7773.33	7801.67	7830	7858.33	7886.67	7915	7943.33	7971.67
116.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	1000.01	841.604	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	735.735	459.489	556.665	435.068	474.021	527.66	0	0	0	0	0	0	0	0	0	0	328.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.254	0	0	90.5847	0	470.572	512.867	271.933	463.356	141.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933.125	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	943.927	1000.01	1000.01	1000.01	1000.01	805.101	864.622	692.898	424.915	617.546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.843	0	0	0	360.25	81.4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549.014	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	984.06	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	867.841	900.838	361.179	835.041	795.89	1000.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551.778	0	0	0	0	0	0	526.165	0	0	398.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244.227	0	0	576.096	750.878	1000.01	1000.01	694.011	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	894.481	777.951	1000.01	442.523	0	0	0	0	0	0	552.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766.559	259.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909.965	908.599	0	0	1000.01	0	513.395	966.932	1000.01	1000.01	1000.01	0	0	1000.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425.772	0	0	53.3011	0	1000.01	933.695	602.61	1000.01	944.788	404.912	985.031	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	885.428	765.524	215.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894.481	811.806	367.955	840.424	993.409	1000.01	1000.01	984.06	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	837.336	397.988	280.427	0	0	0	385.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232.715	0	0	0	0	0	0	105.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	762.372	714.992	0	697.732	784.351	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	872.797	578.774	645.819	0	0	0	0	178.481	0	0	0	0	0	70.5659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252.929	401.624	315.641	563.254	1000.01	910.458	844.257	755.269	913.585	886.209	1000.01	1000.01	1000.01	971.191	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	956.303	889.417	902.738	571.756	0	269.223	0	410.812	0	0	0	0	0	0	0	0	0	0	0	0	386.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.176	0	622.638	0	0	1000.01	1000.01	1000.01	1000.01	1000.01	668.432	993.804	1000.01	933.125	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	1000.01	802.893	926.771	830.14	689.533	542.988	589.934	0	0	0	0	33.9703	430.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.834	0	0	0	0	0	755.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
